r_A,cell_H_epoxy_O
0.025,0.0000
0.075,0.0000
0.125,0.0000
0.175,0.0000
0.225,0.0000
0.275,0.0000
0.325,0.0000
0.375,0.0000
0.425,0.0000
0.475,0.0000
0.525,0.0000
0.575,0.0000
0.625,0.0000
0.675,0.0000
0.725,0.0000
0.775,0.0000
0.825,0.0000
0.875,0.0000
0.925,0.0000
0.975,0.0000
1.025,0.0000
1.075,0.0000
1.125,0.0000
1.175,0.0000
1.225,0.0000
1.275,0.0000
1.325,0.0000
1.375,0.0000
1.425,0.0000
1.475,0.0000
1.525,0.0000
1.575,0.0000
1.625,0.0000
1.675,0.0000
1.725,0.0000
1.775,0.0000
1.825,0.0000
1.875,0.0000
1.925,0.0000
1.975,0.0000
2.025,0.0000
2.075,0.0000
2.125,0.4720
2.175,0.0000
2.225,0.0000
2.275,0.0000
2.325,0.0000
2.375,0.0000
2.425,0.0000
2.475,0.3480
2.525,0.3343
2.575,0.3215
2.625,0.0000
2.675,0.8936
2.725,0.0000
2.775,0.0000
2.825,0.0000
2.875,0.2579
2.925,0.0000
2.975,0.0000
3.025,0.0000
3.075,0.0000
3.125,0.0000
3.175,0.0000
3.225,0.0000
3.275,0.5962
3.325,0.1928
3.375,0.0000
3.425,0.1817
3.475,0.0000
3.525,0.0000
3.575,0.1668
3.625,0.3244
3.675,0.1578
3.725,0.0000
3.775,0.1496
3.825,0.0000
3.875,0.1420
3.925,0.0000
3.975,0.2698
4.025,0.1316
4.075,0.5134
4.125,0.0000
4.175,0.2446
4.225,0.1194
4.275,0.1166
4.325,0.1140
4.375,0.1114
4.425,0.1089
4.475,0.0000
4.525,0.0000
4.575,0.0000
4.625,0.3986
4.675,0.0000
4.725,0.0955
4.775,0.4674
4.825,0.0000
4.875,0.2691
4.925,0.4394
4.975,0.0861
5.025,0.3377
5.075,0.1655
5.125,0.5681
5.175,0.2388
5.225,0.0000
5.275,0.0766
5.325,0.1503
5.375,0.1476
5.425,0.4346
5.475,0.2133
5.525,0.1397
5.575,0.0000
5.625,0.3368
5.675,0.2647
5.725,0.1951
5.775,0.2557
5.825,0.1885
5.875,0.2470
5.925,0.3036
5.975,0.4776
