r_A,cell_O_mgo_Mg,cell_H_mgo_O,cell_H_epoxy_O
0.025,0.0000,0.0000,0.0000
0.075,0.0000,0.0000,0.0000
0.125,0.0000,0.0000,0.0000
0.175,0.0000,0.0000,0.0000
0.225,0.0000,0.0000,0.0000
0.275,0.0000,0.0000,0.0000
0.325,0.0000,0.0000,0.0000
0.375,0.0000,0.0000,0.0000
0.425,0.0000,0.0000,0.0000
0.475,0.0000,0.0000,0.0000
0.525,0.0000,0.0000,0.0000
0.575,0.0000,0.0000,0.0000
0.625,0.0000,0.0000,0.0000
0.675,0.0000,0.0000,0.0000
0.725,0.0000,0.0000,0.0000
0.775,0.0000,0.0000,0.0000
0.825,0.0000,0.0000,0.0000
0.875,0.0000,0.0000,0.0000
0.925,0.0000,0.0000,0.0000
0.975,0.0000,0.0000,0.0000
1.025,0.0000,0.0000,0.0000
1.075,0.0000,0.0000,0.0000
1.125,0.0000,0.0000,0.0000
1.175,0.0000,0.0000,0.0000
1.225,0.0000,0.0000,0.0000
1.275,0.0000,0.0000,0.0000
1.325,0.0000,0.0000,0.0000
1.375,0.0000,0.0000,0.0000
1.425,0.0000,0.0000,0.0000
1.475,0.0000,0.0000,0.0000
1.525,0.0000,0.0000,0.0000
1.575,0.0000,0.0000,0.0000
1.625,0.0000,0.0000,0.0000
1.675,0.0000,0.0000,0.0000
1.725,0.0000,0.0000,0.0000
1.775,0.0000,0.0000,0.0000
1.825,0.0000,0.0000,0.0000
1.875,0.0000,0.0000,0.0000
1.925,0.0000,0.0000,0.0000
1.975,0.2550,0.0000,0.0000
2.025,0.0000,0.0000,0.0000
2.075,0.0000,0.0000,0.0000
2.125,0.2203,0.0000,0.0000
2.175,0.2103,0.0000,0.0000
2.225,0.0000,0.0000,0.0000
2.275,0.0000,0.0000,0.0000
2.325,0.1840,0.0000,0.0000
2.375,0.0000,0.0000,0.0000
2.425,0.0000,0.0000,0.0000
2.475,0.0000,0.0000,0.0000
2.525,0.0000,0.0000,0.0000
2.575,0.0000,0.0000,0.0000
2.625,0.0000,0.0000,0.0000
2.675,0.0000,0.0000,0.2979
2.725,0.0000,0.0000,0.0000
2.775,0.0000,0.0000,0.5536
2.825,0.1246,0.0000,0.0000
2.875,0.1203,0.0000,0.0000
2.925,0.0000,0.0000,0.0000
2.975,0.0000,0.0000,0.0000
3.025,0.0000,0.0000,0.0000
3.075,0.0000,0.0000,0.2254
3.125,0.0000,0.0728,0.2183
3.175,0.0000,0.0000,0.0000
3.225,0.0000,0.0000,0.0000
3.275,0.0000,0.0000,0.1987
3.325,0.0000,0.0000,0.1928
3.375,0.0873,0.0624,0.0000
3.425,0.0848,0.0000,0.0000
3.475,0.0824,0.0000,0.1765
3.525,0.0000,0.0572,0.0000
3.575,0.0000,0.0000,0.0000
3.625,0.0757,0.0000,0.0000
3.675,0.0737,0.1052,0.0000
3.725,0.0717,0.0000,0.0000
3.775,0.1396,0.0000,0.1496
3.825,0.0680,0.0000,0.0000
3.875,0.0662,0.0000,0.1420
3.925,0.0000,0.0461,0.1384
3.975,0.0000,0.0450,0.2698
4.025,0.0000,0.0877,0.0000
4.075,0.1797,0.0428,0.1284
4.125,0.0000,0.0000,0.3758
4.175,0.0571,0.0408,0.1223
4.225,0.0557,0.1990,0.1194
4.275,0.1089,0.0389,0.1166
4.325,0.0000,0.0760,0.1140
4.375,0.0520,0.0371,0.0000
4.425,0.0000,0.0363,0.1089
4.475,0.0497,0.0710,0.1064
4.525,0.1943,0.0347,0.3123
4.575,0.1426,0.0679,0.1018
4.625,0.1395,0.0664,0.0000
4.675,0.0910,0.0325,0.0975
4.725,0.0891,0.1273,0.3819
4.775,0.0436,0.0623,0.0935
4.825,0.0000,0.0305,0.1831
4.875,0.0837,0.0299,0.1794
4.925,0.0410,0.0586,0.0879
4.975,0.2009,0.0287,0.0000
5.025,0.0788,0.1688,0.0000
5.075,0.0000,0.0828,0.1655
5.125,0.0757,0.1082,0.3246
5.175,0.2229,0.1592,0.0796
5.225,0.1457,0.0781,0.2342
5.275,0.2502,0.1021,0.1532
5.325,0.1754,0.0752,0.3759
5.375,0.1033,0.0738,0.2213
5.425,0.1014,0.1207,0.1449
5.475,0.0332,0.0000,0.2133
5.525,0.0652,0.1629,0.2095
5.575,0.0960,0.1372,0.2057
5.625,0.0943,0.1123,0.2021
5.675,0.1235,0.1765,0.2647
5.725,0.0910,0.0867,0.3252
5.775,0.0895,0.2983,0.0000
5.825,0.1173,0.0838,0.1885
5.875,0.1153,0.2059,0.0618
5.925,0.1700,0.1012,0.1214
5.975,0.0836,0.2388,0.2388
